"report_section","schema_name","table_name","column_name","data_type","pii_category","pii_risk_level","recommended_action","compliance_scope"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Password,PasswordHash,varchar(128),AUTHENTICATION,HIGH_PII_RISK,ENCRYPT - Apply strong encryption and restrict access,Standard Data Protection
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Password,PasswordSalt,varchar(10),AUTHENTICATION,HIGH_PII_RISK,ENCRYPT - Apply strong encryption and restrict access,Standard Data Protection
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,CreditCard,CreditCardID,int,FINANCIAL,HIGH_PII_RISK,ENCRYPT - Apply strong encryption and restrict access,"SOX, Financial Data Protection, Employment Law"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,PersonCreditCard,CreditCardID,int,FINANCIAL,HIGH_PII_RISK,ENCRYPT - Apply strong encryption and restrict access,"SOX, Financial Data Protection, Employment Law"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,SalesOrderHeader,CreditCardApprovalCode,varchar(15),FINANCIAL,HIGH_PII_RISK,ENCRYPT - Apply strong encryption and restrict access,"SOX, Financial Data Protection, Employment Law"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,SalesOrderHeader,CreditCardID,int,FINANCIAL,HIGH_PII_RISK,ENCRYPT - Apply strong encryption and restrict access,"SOX, Financial Data Protection, Employment Law"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,SalesTaxRate,SalesTaxRateID,int,FINANCIAL,HIGH_PII_RISK,STANDARD - Apply standard data governance controls,"GDPR, CCPA, PIPEDA, SOX, Government ID Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,HumanResources,Employee,BirthDate,date,DEMOGRAPHIC,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, Demographic Data Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Address,AddressID,int,ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Address,AddressLine1,nvarchar(120),ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Address,AddressLine2,nvarchar(120),ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,AddressType,AddressTypeID,int,ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,BusinessEntityAddress,AddressID,int,ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,BusinessEntityAddress,AddressTypeID,int,ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,EmailAddress,EmailAddress,nvarchar(100),CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,EmailAddress,EmailAddressID,int,CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Person,EmailPromotion,int,CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Person,FirstName,Name,PERSONAL_NAME,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,Person,LastName,Name,PERSONAL_NAME,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,PersonPhone,PhoneNumber,Phone,CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,PersonPhone,PhoneNumberTypeID,int,CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Person,PhoneNumberType,PhoneNumberTypeID,int,CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Production,ProductReview,EmailAddress,nvarchar(100),CONTACT_INFO,MEDIUM_PII_RISK,MASK - Consider data masking for non-production,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,SalesOrderHeader,BillToAddressID,int,ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH-RISK PII COLUMNS REQUIRING IMMEDIATE ATTENTION,Sales,SalesOrderHeader,ShipToAddressID,int,ADDRESS_INFO,MEDIUM_PII_RISK,RESTRICT - Limit access to authorized personnel only,"GDPR, CCPA, PIPEDA, PII Protection"
