"report_section","schema_name","table_name","pii_risk_level","data_sensitivity","operational_flag","estimated_rows","size_mb","days_since_last_access","compliance_scope"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,Person,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",19972,30.55,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,Address,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",19614,2.99,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,EmailAddress,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",19972,2.07,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,Password,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",19972,1.95,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,PersonPhone,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",19972,1.26,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,BusinessEntityAddress,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",19614,0.95,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,BusinessEntity,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",20777,0.82,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,HumanResources,JobCandidate,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",13,0.39,,"Employment Law, GDPR, CCPA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,HumanResources,EmployeePayHistory,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",316,0.20,,"Employment Law, GDPR, CCPA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,HumanResources,EmployeeDepartmentHistory,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",296,0.20,,"Employment Law, GDPR, CCPA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,BusinessEntityContact,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",909,0.20,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,CountryRegion,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",238,0.20,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,StateProvince,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",181,0.20,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,HumanResources,Employee,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",290,0.13,,"Employment Law, GDPR, CCPA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,HumanResources,Department,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",16,0.07,,"Employment Law, GDPR, CCPA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,HumanResources,Shift,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",3,0.07,,"Employment Law, GDPR, CCPA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,ContactType,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",20,0.07,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,AddressType,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",6,0.07,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Person,PhoneNumberType,HIGH_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",3,0.07,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesOrderHeader,MEDIUM_PII_RISK,HIGH - Personal/Sensitive Data,"REVIEW - No reads in 180+ days, consider archival",31465,5.45,,"GDPR, CCPA, PIPEDA, PII Protection"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,CreditCard,MEDIUM_PII_RISK,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",19118,1.57,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,Customer,MEDIUM_PII_RISK,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",19820,1.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,PersonCreditCard,MEDIUM_PII_RISK,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",19118,0.57,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesOrderDetail,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",121317,9.76,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,dbo,DatabaseLog,NO_PII_DETECTED,LOW - Reference Data,"REVIEW - No reads in 180+ days, consider archival",1596,6.39,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,TransactionHistory,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",113443,6.26,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,WorkOrderRouting,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",67131,5.51,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,TransactionHistoryArchive,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",89253,4.95,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,WorkOrder,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",72591,4.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductPhoto,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",101,2.45,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,Store,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",701,0.88,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,CurrencyRate,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",13532,0.82,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesOrderHeaderSalesReason,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",27647,0.76,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Purchasing,PurchaseOrderDetail,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",8845,0.57,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Purchasing,PurchaseOrderHeader,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",4012,0.45,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,Document,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",13,0.45,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,Illustration,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",5,0.39,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductModel,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",128,0.33,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,BillOfMaterials,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",2679,0.32,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductDescription,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",762,0.26,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,Product,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",504,0.26,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductCostHistory,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",395,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductListPriceHistory,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",395,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductModelProductDescriptionCulture,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",762,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductInventory,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",1069,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductReview,LOW_PII_RISK,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",4,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Purchasing,ProductVendor,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",460,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Purchasing,Vendor,LOW_PII_RISK,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",104,0.20,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SpecialOfferProduct,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",538,0.20,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesPersonQuotaHistory,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",163,0.20,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,CountryRegionCurrency,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",109,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,Currency,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",105,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesTaxRate,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",29,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesTerritoryHistory,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",17,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesPerson,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",17,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SpecialOffer,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",16,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesTerritory,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",10,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
