"priority_section","schema_name","table_name","column_name","data_type_category","formatted_data_type","overall_column_score","overall_quality_level","pii_risk_assessment","governance_priority","potential_pii_indicator","business_criticality","immediate_actions","recommended_improvements","steward_assignment"
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,UserName,OTHER,sysname,43.75,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,STANDARD,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,PRIVACY_OFFICER
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,Vendor,Name,OTHER,Name,47.75,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,PRIVACY_OFFICER
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Department,GroupName,OTHER,Name,48.25,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,PhoneNumberType,Name,OTHER,Name,48.25,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,PersonPhone,PhoneNumber,OTHER,Phone,49.50,POOR,HIGH_RISK,URGENT,CONTACT_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesReason,Name,OTHER,Name,49.75,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,Store,Name,OTHER,Name,49.75,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductReview,ReviewerName,OTHER,Name,51.75,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,MiddleName,OTHER,Name,52.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesTaxRate,Name,OTHER,Name,52.25,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
